"","StateFullName","Year","Population","Category","State","Revenue","Description","Unemployment"
"65","Alabama",2007,4672840,"T15","AL",744890,"Public Utilities Sales Tax",0.04616
"66","Alabama",2007,4672840,"T16","AL",150779,"Tobacco Products Sales Tax",0.04616
"67","Alabama",2007,4672840,"T23","AL",16903,"Hunting and Fishing License",0.04616
"68","Alabama",2007,4672840,"T10","AL",158886,"Alcoholic Beverages Sales Tax",0.04616
"69","Alabama",2007,4672840,"T20","AL",3563,"Alcoholic Beverages License",0.04616
"70","Alabama",2007,4672840,"T28","AL",124694,"Occupation and Businesses License, NEC",0.04616
"71","Alabama",2007,4672840,"T01","AL",273501,"Property Taxes",0.04616
"72","Alabama",2007,4672840,"T40","AL",3019510,"Individual Income Taxes",0.04616
"73","Alabama",2007,4672840,"T22","AL",98831,"Corporations in General License",0.04616
"74","Alabama",2007,4672840,"T19","AL",210128,"Other Selective Sales and Gross Receipts Taxes",0.04616
"75","Alabama",2007,4672840,"T11","AL",103,"Amusements Sales Tax",0.04616
"76","Alabama",2007,4672840,"T29","AL",0,"Other License Taxes",0.04616
"77","Alabama",2007,4672840,"T14","AL",2968,"Pari-mutuels Sales Tax",0.04616
"78","Alabama",2007,4672840,"T99","AL",0,"Taxes, NEC",0.04616
"79","Alabama",2007,4672840,"T09","AL",2278027,"General Sales and Gross Receipts Taxes",0.04616
"80","Alabama",2007,4672840,"T27","AL",12477,"Public Utilities License",0.04616
"81","Alabama",2007,4672840,"T25","AL",16163,"Motor Vehicle Operators License",0.04616
"82","Alabama",2007,4672840,"T53","AL",144306,"Severance Taxes",0.04616
"83","Alabama",2008,4718206,"T12","AL",293955,"Insurance Premiums Sales Tax",0.058
"84","Alabama",2008,4718206,"T21","AL",0,"Amusements License",0.058
"85","Alabama",2008,4718206,"T23","AL",15835,"Hunting and Fishing License",0.058
"86","Alabama",2008,4718206,"T01","AL",301034,"Property Taxes",0.058
"87","Alabama",2008,4718206,"T28","AL",122125,"Occupation and Businesses License, NEC",0.058
"88","Alabama",2008,4718206,"T25","AL",17762,"Motor Vehicle Operators License",0.058
"89","Alabama",2008,4718206,"T22","AL",103042,"Corporations in General License",0.058
"90","Alabama",2008,4718206,"T27","AL",13051,"Public Utilities License",0.058
"91","Alabama",2008,4718206,"T24","AL",212687,"Motor Vehicles License",0.058
"92","Alabama",2008,4718206,"T19","AL",211094,"Other Selective Sales and Gross Receipts Taxes",0.058
"93","Alabama",2008,4718206,"T53","AL",197581,"Severance Taxes",0.058
"94","Alabama",2008,4718206,"T99","AL",0,"Taxes, NEC",0.058
"95","Alabama",2008,4718206,"T14","AL",2668,"Pari-mutuels Sales Tax",0.058
"96","Alabama",2008,4718206,"T51","AL",48512,"Documentary and Stock Transfer Taxes",0.058
"97","Alabama",2008,4718206,"T10","AL",164827,"Alcoholic Beverages Sales Tax",0.058
"98","Alabama",2008,4718206,"T09","AL",2287288,"General Sales and Gross Receipts Taxes",0.058
"99","Alabama",2008,4718206,"T20","AL",3431,"Alcoholic Beverages License",0.058
"100","Alabama",2008,4718206,"T16","AL",145020,"Tobacco Products Sales Tax",0.058
"101","Alabama",2008,4718206,"T11","AL",86,"Amusements Sales Tax",0.058
"102","Alabama",2008,4718206,"T41","AL",524808,"Corporation Net Income Taxes",0.058
"103","Alabama",2008,4718206,"T40","AL",3077553,"Individual Income Taxes",0.058
"104","Alabama",2008,4718206,"T50","AL",0,"Death and Gift Taxes",0.058
"105","Alabama",2008,4718206,"T13","AL",545726,"Motor Fuels Sales Tax",0.058
"106","Alabama",2008,4718206,"T29","AL",1,"Other License Taxes",0.058
"107","Alabama",2008,4718206,"T15","AL",782444,"Public Utilities Sales Tax",0.058
"108","Alabama",2009,4757938,"T41","AL",493972,"Corporation Net Income Taxes",0.0928
"109","Alabama",2009,4757938,"T23","AL",21549,"Hunting and Fishing License",0.0928
"110","Alabama",2009,4757938,"T28","AL",118668,"Occupation and Businesses License, NEC",0.0928
"111","Alabama",2009,4757938,"T53","AL",115374,"Severance Taxes",0.0928
"112","Alabama",2009,4757938,"T21","AL",0,"Amusements License",0.0928
"113","Alabama",2009,4757938,"T12","AL",269808,"Insurance Premiums Sales Tax",0.0928
"114","Alabama",2009,4757938,"T27","AL",14360,"Public Utilities License",0.0928
"115","Alabama",2009,4757938,"T24","AL",195459,"Motor Vehicles License",0.0928
"116","Alabama",2009,4757938,"T13","AL",546467,"Motor Fuels Sales Tax",0.0928
"117","Alabama",2009,4757938,"T09","AL",2069535,"General Sales and Gross Receipts Taxes",0.0928
"118","Alabama",2009,4757938,"T50","AL",0,"Death and Gift Taxes",0.0928
"119","Alabama",2009,4757938,"T16","AL",141176,"Tobacco Products Sales Tax",0.0928
"120","Alabama",2009,4757938,"T29","AL",1,"Other License Taxes",0.0928
"121","Alabama",2009,4757938,"T15","AL",801096,"Public Utilities Sales Tax",0.0928
"122","Alabama",2009,4757938,"T51","AL",36347,"Documentary and Stock Transfer Taxes",0.0928
"123","Alabama",2009,4757938,"T19","AL",204857,"Other Selective Sales and Gross Receipts Taxes",0.0928
"124","Alabama",2009,4757938,"T20","AL",3881,"Alcoholic Beverages License",0.0928
"125","Alabama",2009,4757938,"T40","AL",2662759,"Individual Income Taxes",0.0928
"126","Alabama",2009,4757938,"T25","AL",15625,"Motor Vehicle Operators License",0.0928
"127","Alabama",2009,4757938,"T01","AL",315784,"Property Taxes",0.0928
"128","Alabama",2009,4757938,"T10","AL",167830,"Alcoholic Beverages Sales Tax",0.0928
"129","Alabama",2009,4757938,"T22","AL",109384,"Corporations in General License",0.0928
"130","Alabama",2009,4757938,"T11","AL",87,"Amusements Sales Tax",0.0928
"131","Alabama",2009,4757938,"T14","AL",2427,"Pari-mutuels Sales Tax",0.0928
"132","Alabama",2009,4757938,"T99","AL",0,"Taxes, NEC",0.0928
"133","Alabama",2010,4785570,"T23","AL",20810,"Hunting and Fishing License",0.09608
"134","Alabama",2010,4785570,"T20","AL",3868,"Alcoholic Beverages License",0.09608
"135","Alabama",2010,4785570,"T24","AL",200285,"Motor Vehicles License",0.09608
"136","Alabama",2010,4785570,"T53","AL",90538,"Severance Taxes",0.09608
"137","Alabama",2010,4785570,"T15","AL",812367,"Public Utilities Sales Tax",0.09608
"138","Alabama",2010,4785570,"T51","AL",30354,"Documentary and Stock Transfer Taxes",0.09608
"139","Alabama",2010,4785570,"T21","AL",0,"Amusements License",0.09608
"140","Alabama",2010,4785570,"T41","AL",428245,"Corporation Net Income Taxes",0.09608
"141","Alabama",2010,4785570,"T29","AL",1,"Other License Taxes",0.09608
"142","Alabama",2010,4785570,"T99","AL",0,"Taxes, NEC",0.09608
"143","Alabama",2010,4785570,"T16","AL",137401,"Tobacco Products Sales Tax",0.09608
"144","Alabama",2010,4785570,"T28","AL",126525,"Occupation and Businesses License, NEC",0.09608
"145","Alabama",2010,4785570,"T13","AL",558476,"Motor Fuels Sales Tax",0.09608
"146","Alabama",2010,4785570,"T12","AL",259169,"Insurance Premiums Sales Tax",0.09608
"147","Alabama",2010,4785570,"T40","AL",2616000,"Individual Income Taxes",0.09608
"148","Alabama",2010,4785570,"T22","AL",108682,"Corporations in General License",0.09608
"149","Alabama",2010,4785570,"T10","AL",167285,"Alcoholic Beverages Sales Tax",0.09608
"150","Alabama",2010,4785570,"T50","AL",96,"Death and Gift Taxes",0.09608
"151","Alabama",2010,4785570,"T09","AL",2097434,"General Sales and Gross Receipts Taxes",0.09608
"152","Alabama",2010,4785570,"T19","AL",411129,"Other Selective Sales and Gross Receipts Taxes",0.09608
"153","Alabama",2010,4785570,"T27","AL",13525,"Public Utilities License",0.09608
"154","Alabama",2010,4785570,"T01","AL",316354,"Property Taxes",0.09608
"155","Alabama",2010,4785570,"T14","AL",2104,"Pari-mutuels Sales Tax",0.09608
"156","Alabama",2010,4785570,"T11","AL",115,"Amusements Sales Tax",0.09608
"157","Alabama",2010,4785570,"T25","AL",19148,"Motor Vehicle Operators License",0.09608
"158","Alabama",2011,4801627,"T27","AL",11792,"Public Utilities License",0.0894
"159","Alabama",2011,4801627,"T21","AL",0,"Amusements License",0.0894
"160","Alabama",2011,4801627,"T20","AL",3967,"Alcoholic Beverages License",0.0894
"161","Alabama",2011,4801627,"T24","AL",199970,"Motor Vehicles License",0.0894
"162","Alabama",2011,4801627,"T11","AL",90,"Amusements Sales Tax",0.0894
"163","Alabama",2011,4801627,"T53","AL",115975,"Severance Taxes",0.0894
"164","Alabama",2011,4801627,"T41","AL",301178,"Corporation Net Income Taxes",0.0894
"165","Alabama",2011,4801627,"T13","AL",548265,"Motor Fuels Sales Tax",0.0894
"166","Alabama",2011,4801627,"T22","AL",109434,"Corporations in General License",0.0894
"167","Alabama",2011,4801627,"T12","AL",271835,"Insurance Premiums Sales Tax",0.0894
"168","Alabama",2011,4801627,"T10","AL",167871,"Alcoholic Beverages Sales Tax",0.0894
"169","Alabama",2011,4801627,"T40","AL",2795906,"Individual Income Taxes",0.0894
"170","Alabama",2011,4801627,"T09","AL",2174639,"General Sales and Gross Receipts Taxes",0.0894
"171","Alabama",2011,4801627,"T15","AL",772003,"Public Utilities Sales Tax",0.0894
"172","Alabama",2011,4801627,"T01","AL",315698,"Property Taxes",0.0894
"173","Alabama",2011,4801627,"T29","AL",2,"Other License Taxes",0.0894
"174","Alabama",2011,4801627,"T25","AL",21001,"Motor Vehicle Operators License",0.0894
"175","Alabama",2011,4801627,"T50","AL",82,"Death and Gift Taxes",0.0894
"176","Alabama",2011,4801627,"T23","AL",21053,"Hunting and Fishing License",0.0894
"177","Alabama",2011,4801627,"T19","AL",501840,"Other Selective Sales and Gross Receipts Taxes",0.0894
"178","Alabama",2011,4801627,"T14","AL",1973,"Pari-mutuels Sales Tax",0.0894
"179","Alabama",2011,4801627,"T99","AL",0,"Taxes, NEC",0.0894
"180","Alabama",2011,4801627,"T16","AL",136611,"Tobacco Products Sales Tax",0.0894
"181","Alabama",2011,4801627,"T51","AL",31901,"Documentary and Stock Transfer Taxes",0.0894
"182","Alabama",2011,4801627,"T28","AL",128898,"Occupation and Businesses License, NEC",0.0894
"183","Alabama",2012,4817528,"T21","AL",0,"Amusements License",0.0806
"184","Alabama",2012,4817528,"T27","AL",14367,"Public Utilities License",0.0806
"185","Alabama",2012,4817528,"T24","AL",201875,"Motor Vehicles License",0.0806
"186","Alabama",2012,4817528,"T41","AL",413253,"Corporation Net Income Taxes",0.0806
"187","Alabama",2012,4817528,"T40","AL",3017437,"Individual Income Taxes",0.0806
"188","Alabama",2012,4817528,"T22","AL",130843,"Corporations in General License",0.0806
"189","Alabama",2012,4817528,"T51","AL",36271,"Documentary and Stock Transfer Taxes",0.0806
"190","Alabama",2012,4817528,"T28","AL",123994,"Occupation and Businesses License, NEC",0.0806
"191","Alabama",2012,4817528,"T13","AL",541499,"Motor Fuels Sales Tax",0.0806
"192","Alabama",2012,4817528,"T19","AL",494129,"Other Selective Sales and Gross Receipts Taxes",0.0806
"193","Alabama",2012,4817528,"T11","AL",53,"Amusements Sales Tax",0.0806
"194","Alabama",2012,4817528,"T16","AL",126151,"Tobacco Products Sales Tax",0.0806
"195","Alabama",2012,4817528,"T25","AL",21679,"Motor Vehicle Operators License",0.0806
"196","Alabama",2012,4817528,"T15","AL",736533,"Public Utilities Sales Tax",0.0806
"197","Alabama",2012,4817528,"T99","AL",0,"Taxes, NEC",0.0806
"198","Alabama",2012,4817528,"T20","AL",4229,"Alcoholic Beverages License",0.0806
"199","Alabama",2012,4817528,"T10","AL",173251,"Alcoholic Beverages Sales Tax",0.0806
"200","Alabama",2012,4817528,"T14","AL",1841,"Pari-mutuels Sales Tax",0.0806
"201","Alabama",2012,4817528,"T23","AL",20688,"Hunting and Fishing License",0.0806
"202","Alabama",2012,4817528,"T53","AL",116467,"Severance Taxes",0.0806
"203","Alabama",2012,4817528,"T12","AL",278242,"Insurance Premiums Sales Tax",0.0806
"204","Alabama",2012,4817528,"T50","AL",303,"Death and Gift Taxes",0.0806
"205","Alabama",2012,4817528,"T01","AL",321530,"Property Taxes",0.0806
"206","Alabama",2012,4817528,"T09","AL",2274658,"General Sales and Gross Receipts Taxes",0.0806
"207","Alabama",2012,4817528,"T29","AL",1,"Other License Taxes",0.0806
"208","Alabama",2013,4833722,"T15","AL",737619,"Public Utilities Sales Tax",0.07366
"209","Alabama",2013,4833722,"T27","AL",14086,"Public Utilities License",0.07366
"210","Alabama",2013,4833722,"T12","AL",297958,"Insurance Premiums Sales Tax",0.07366
"211","Alabama",2013,4833722,"T10","AL",173252,"Alcoholic Beverages Sales Tax",0.07366
"212","Alabama",2013,4833722,"T23","AL",21470,"Hunting and Fishing License",0.07366
"213","Alabama",2013,4833722,"T20","AL",4230,"Alcoholic Beverages License",0.07366
"214","Alabama",2013,4833722,"T11","AL",93,"Amusements Sales Tax",0.07366
"215","Alabama",2013,4833722,"T50","AL",18,"Death and Gift Taxes",0.07366
"216","Alabama",2013,4833722,"T14","AL",1557,"Pari-mutuels Sales Tax",0.07366
"217","Alabama",2013,4833722,"T29","AL",4,"Other License Taxes",0.07366
"218","Alabama",2013,4833722,"T53","AL",119424,"Severance Taxes",0.07366
"219","Alabama",2013,4833722,"T21","AL",0,"Amusements License",0.07366
"220","Alabama",2013,4833722,"T19","AL",514866,"Other Selective Sales and Gross Receipts Taxes",0.07366
"221","Alabama",2013,4833722,"T40","AL",3202520,"Individual Income Taxes",0.07366
"222","Alabama",2013,4833722,"T28","AL",87908,"Occupation and Businesses License, NEC",0.07366
"223","Alabama",2013,4833722,"T51","AL",42155,"Documentary and Stock Transfer Taxes",0.07366
"224","Alabama",2013,4833722,"T25","AL",21031,"Motor Vehicle Operators License",0.07366
"225","Alabama",2013,4833722,"T22","AL",136786,"Corporations in General License",0.07366
"226","Alabama",2013,4833722,"T99","AL",0,"Taxes, NEC",0.07366
"227","Alabama",2013,4833722,"T01","AL",322300,"Property Taxes",0.07366
"228","Alabama",2013,4833722,"T24","AL",204960,"Motor Vehicles License",0.07366
"229","Alabama",2013,4833722,"T41","AL",382202,"Corporation Net Income Taxes",0.07366
"230","Alabama",2013,4833722,"T16","AL",120110,"Tobacco Products Sales Tax",0.07366
"231","Alabama",2013,4833722,"T09","AL",2331676,"General Sales and Gross Receipts Taxes",0.07366
"232","Alabama",2013,4833722,"T13","AL",530244,"Motor Fuels Sales Tax",0.07366
"233","Alabama",2014,4849377,"T12","AL",304441,"Insurance Premiums Sales Tax",0.0615
"234","Alabama",2014,4849377,"T25","AL",20920,"Motor Vehicle Operators License",0.0615
"235","Alabama",2014,4849377,"T28","AL",58178,"Occupation and Businesses License, NEC",0.0615
"236","Alabama",2014,4849377,"T16","AL",117112,"Tobacco Products Sales Tax",0.0615
"237","Alabama",2014,4849377,"T14","AL",1547,"Pari-mutuels Sales Tax",0.0615
"238","Alabama",2014,4849377,"T53","AL",115437,"Severance Taxes",0.0615
"239","Alabama",2014,4849377,"T23","AL",21311,"Hunting and Fishing License",0.0615
"240","Alabama",2014,4849377,"T51","AL",36668,"Documentary and Stock Transfer Taxes",0.0615
"241","Alabama",2014,4849377,"T20","AL",4225,"Alcoholic Beverages License",0.0615
"242","Alabama",2014,4849377,"T24","AL",189345,"Motor Vehicles License",0.0615
"243","Alabama",2014,4849377,"T40","AL",3206583,"Individual Income Taxes",0.0615
"244","Alabama",2014,4849377,"T10","AL",181427,"Alcoholic Beverages Sales Tax",0.0615
"245","Alabama",2014,4849377,"T15","AL",734105,"Public Utilities Sales Tax",0.0615
"246","Alabama",2014,4849377,"T19","AL",546384,"Other Selective Sales and Gross Receipts Taxes",0.0615
"247","Alabama",2014,4849377,"T22","AL",78166,"Corporations in General License",0.0615
"248","Alabama",2014,4849377,"T99","AL",0,"Taxes, NEC",0.0615
"249","Alabama",2014,4849377,"T13","AL",534396,"Motor Fuels Sales Tax",0.0615
"250","Alabama",2014,4849377,"T50","AL",8,"Death and Gift Taxes",0.0615
"251","Alabama",2014,4849377,"T29","AL",0,"Other License Taxes",0.0615
"252","Alabama",2014,4849377,"T11","AL",70,"Amusements Sales Tax",0.0615
"253","Alabama",2014,4849377,"T01","AL",329598,"Property Taxes",0.0615
"254","Alabama",2014,4849377,"T27","AL",14233,"Public Utilities License",0.0615
"255","Alabama",2014,4849377,"T21","AL",0,"Amusements License",0.0615
"256","Alabama",2014,4849377,"T41","AL",406408,"Corporation Net Income Taxes",0.0615
"257","Alabama",2014,4849377,"T09","AL",2393192,"General Sales and Gross Receipts Taxes",0.0615
"264","Alaska",2005,666946,"T13","AK",39565,"Motor Fuels Sales Tax",0.05083
"265","Alaska",2005,666946,"T24","AK",52930,"Motor Vehicles License",0.05083
"266","Alaska",2005,666946,"T16","AK",56162,"Tobacco Products Sales Tax",0.05083
"267","Alaska",2005,666946,"T11","AK",2458,"Amusements Sales Tax",0.05083
"268","Alaska",2005,666946,"T19","AK",9047,"Other Selective Sales and Gross Receipts Taxes",0.05083
"269","Alaska",2005,666946,"T99","AK",0,"Taxes, NEC",0.05083
"270","Alaska",2005,666946,"T50","AK",1539,"Death and Gift Taxes",0.05083
"271","Alaska",2005,666946,"T21","AK",1,"Amusements License",0.05083
"272","Alaska",2005,666946,"T28","AK",14849,"Occupation and Businesses License, NEC",0.05083
"273","Alaska",2005,666946,"T20","AK",1768,"Alcoholic Beverages License",0.05083
"274","Alaska",2005,666946,"T15","AK",3969,"Public Utilities Sales Tax",0.05083
"275","Alaska",2005,666946,"T41","AK",588694,"Corporation Net Income Taxes",0.05083
"276","Alaska",2005,666946,"T51","AK",0,"Documentary and Stock Transfer Taxes",0.05083
"277","Alaska",2005,666946,"T53","AK",925699,"Severance Taxes",0.05083
"278","Alaska",2005,666946,"T10","AK",34638,"Alcoholic Beverages Sales Tax",0.05083
"279","Alaska",2005,666946,"T12","AK",52958,"Insurance Premiums Sales Tax",0.05083
"281","Alaska",2005,666946,"T27","AK",285,"Public Utilities License",0.05083
"282","Alaska",2005,666946,"T14","AK",0,"Pari-mutuels Sales Tax",0.05083
"283","Alaska",2005,666946,"T40","AK",0,"Individual Income Taxes",0.05083
"284","Alaska",2005,666946,"T01","AK",42912,"Property Taxes",0.05083
"285","Alaska",2005,666946,"T29","AK",4663,"Other License Taxes",0.05083
"286","Alaska",2005,666946,"T25","AK",0,"Motor Vehicle Operators License",0.05083
"287","Alaska",2005,666946,"T22","AK",1019,"Corporations in General License",0.05083
"288","Alaska",2005,666946,"T09","AK",0,"General Sales and Gross Receipts Taxes",0.05083
"289","Alaska",2005,666946,"T23","AK",25155,"Hunting and Fishing License",0.05083
"290","Alaska",2006,675302,"T01","AK",54507,"Property Taxes",0.04608
"291","Alaska",2006,675302,"T09","AK",0,"General Sales and Gross Receipts Taxes",0.04608
"292","Alaska",2006,675302,"T50","AK",576,"Death and Gift Taxes",0.04608
"293","Alaska",2006,675302,"T40","AK",0,"Individual Income Taxes",0.04608
"294","Alaska",2006,675302,"T27","AK",360,"Public Utilities License",0.04608
"295","Alaska",2006,675302,"T99","AK",0,"Taxes, NEC",0.04608
"296","Alaska",2006,675302,"T15","AK",3878,"Public Utilities Sales Tax",0.04608
"297","Alaska",2006,675302,"T19","AK",9278,"Other Selective Sales and Gross Receipts Taxes",0.04608
"298","Alaska",2006,675302,"T14","AK",0,"Pari-mutuels Sales Tax",0.04608
"299","Alaska",2006,675302,"T20","AK",1937,"Alcoholic Beverages License",0.04608
"300","Alaska",2006,675302,"T41","AK",821664,"Corporation Net Income Taxes",0.04608
"301","Alaska",2006,675302,"T53","AK",1274642,"Severance Taxes",0.04608
"302","Alaska",2006,675302,"T22","AK",1343,"Corporations in General License",0.04608
"303","Alaska",2006,675302,"T12","AK",51912,"Insurance Premiums Sales Tax",0.04608
"304","Alaska",2006,675302,"T25","AK",0,"Motor Vehicle Operators License",0.04608
"305","Alaska",2006,675302,"T10","AK",35225,"Alcoholic Beverages Sales Tax",0.04608
"306","Alaska",2006,675302,"T16","AK",64106,"Tobacco Products Sales Tax",0.04608
"307","Alaska",2006,675302,"T13","AK",42087,"Motor Fuels Sales Tax",0.04608
"308","Alaska",2006,675302,"T23","AK",26699,"Hunting and Fishing License",0.04608
"309","Alaska",2006,675302,"T24","AK",52494,"Motor Vehicles License",0.04608
"310","Alaska",2006,675302,"T29","AK",3994,"Other License Taxes",0.04608
"311","Alaska",2006,675302,"T21","AK",1,"Amusements License",0.04608
"312","Alaska",2006,675302,"T51","AK",0,"Documentary and Stock Transfer Taxes",0.04608
"313","Alaska",2006,675302,"T28","AK",37307,"Occupation and Businesses License, NEC",0.04608
"314","Alaska",2006,675302,"T11","AK",2412,"Amusements Sales Tax",0.04608
"315","Alaska",2007,680300,"T10","AK",35044,"Alcoholic Beverages Sales Tax",0.04616
"316","Alaska",2007,680300,"T51","AK",0,"Documentary and Stock Transfer Taxes",0.04616
"317","Alaska",2007,680300,"T13","AK",39303,"Motor Fuels Sales Tax",0.04616
"318","Alaska",2007,680300,"T21","AK",0,"Amusements License",0.04616
"319","Alaska",2007,680300,"T11","AK",2446,"Amusements Sales Tax",0.04616
"320","Alaska",2007,680300,"T28","AK",38720,"Occupation and Businesses License, NEC",0.04616
"321","Alaska",2007,680300,"T27","AK",367,"Public Utilities License",0.04616
"322","Alaska",2007,680300,"T40","AK",0,"Individual Income Taxes",0.04616
"323","Alaska",2007,680300,"T12","AK",55402,"Insurance Premiums Sales Tax",0.04616
"324","Alaska",2007,680300,"T09","AK",0,"General Sales and Gross Receipts Taxes",0.04616
"325","Alaska",2007,680300,"T01","AK",65780,"Property Taxes",0.04616
"326","Alaska",2007,680300,"T16","AK",73994,"Tobacco Products Sales Tax",0.04616
"327","Alaska",2007,680300,"T22","AK",1405,"Corporations in General License",0.04616
"328","Alaska",2007,680300,"T99","AK",0,"Taxes, NEC",0.04616
"329","Alaska",2007,680300,"T23","AK",32349,"Hunting and Fishing License",0.04616
"330","Alaska",2007,680300,"T20","AK",1777,"Alcoholic Beverages License",0.04616
"331","Alaska",2007,680300,"T50","AK",133,"Death and Gift Taxes",0.04616
"332","Alaska",2007,680300,"T15","AK",4096,"Public Utilities Sales Tax",0.04616
"333","Alaska",2007,680300,"T41","AK",813762,"Corporation Net Income Taxes",0.04616
"334","Alaska",2007,680300,"T53","AK",2436660,"Severance Taxes",0.04616
"335","Alaska",2007,680300,"T14","AK",0,"Pari-mutuels Sales Tax",0.04616
"336","Alaska",2007,680300,"T29","AK",7025,"Other License Taxes",0.04616
"337","Alaska",2007,680300,"T24","AK",54672,"Motor Vehicles License",0.04616
"338","Alaska",2007,680300,"T19","AK",25512,"Other Selective Sales and Gross Receipts Taxes",0.04616
"339","Alaska",2007,680300,"T25","AK",0,"Motor Vehicle Operators License",0.04616
"340","Alaska",2008,687455,"T10","AK",36567,"Alcoholic Beverages Sales Tax",0.058
